6.31	16.00	92.00
3.14	4.76	92.86
4.71	4.76	92.86
7.36	0.00	83.33
1.68	12.90	96.77
0.01	3.70	88.89
3.83	14.29	85.71
2.80	25.00	66.67
5.61	9.68	90.32
4.47	14.08	88.73
6.07	0.00	100.00
1.88	17.24	96.55
3.37	4.35	95.65
8.05	16.67	83.33
2.32	0.00	25.00
5.52	6.90	82.76
3.55	3.57	85.71
4.15	0.00	78.26
6.06	8.08	92.93
3.80	40.00	100.00
0.01	50.00	100.00
7.19	0.00	100.00
4.92	10.98	92.68
2.16	16.67	100.00
8.82	10.00	95.00
7.68	12.50	89.58
5.45	12.50	93.75
2.40	14.29	100.00
8.64	12.50	100.00
5.31	10.00	85.00
8.96	5.00	90.00
6.29	7.79	81.82
0.87	0.00	66.67
8.61	4.55	89.39
7.43	25.00	100.00
5.46	10.00	100.00
3.68	9.09	87.88
8.95	8.66	89.76
5.39	10.33	84.24
8.78	33.33	100.00
8.58	0.00	100.00
8.70	3.57	82.14
0.83	20.00	80.00
7.34	9.09	95.45
6.73	10.00	70.00
5.90	27.27	100.00
4.48	10.00	90.00
5.30	8.33	91.67
8.47	5.26	94.74
5.14	12.50	87.50
1.54	9.52	90.48
6.66	20.00	88.00
1.69	33.33	100.00
1.33	0.00	0.00
4.12	4.40	90.11
0.57	10.38	91.98
5.63	17.65	94.12
8.07	11.11	100.00
8.76	8.33	91.67
1.88	40.00	100.00
8.47	16.67	83.33
3.62	0.00	88.89
1.06	10.00	70.00
4.67	8.20	91.80
3.93	20.00	100.00
7.44	16.67	94.44
4.48	22.22	94.44
6.80	31.25	100.00
0.63	11.11	66.67
6.40	11.11	88.89
5.41	14.86	89.19
7.86	16.67	91.67
5.19	0.00	100.00
7.53	10.00	90.00
5.44	15.00	85.00
7.06	33.33	100.00
5.60	4.00	84.00
6.33	0.00	88.89
3.34	0.00	100.00
0.51	11.32	92.45
7.29	25.00	75.00
0.04	13.64	81.82
5.01	6.25	75.00
0.06	6.67	93.33
5.81	13.08	91.59
0.47	28.57	100.00
2.76	16.67	66.67
6.38	10.38	91.98
3.00	10.10	92.31
0.39	4.00	92.00
2.44	12.50	100.00
4.64	12.77	82.98
2.50	50.00	100.00
2.13	20.00	100.00
7.86	0.00	100.00
0.87	16.36	92.73
3.00	50.00	50.00
3.74	8.00	84.00
1.60	5.19	84.42
0.77	17.07	85.37
5.86	15.79	89.47
8.35	10.53	94.74
5.87	0.00	0.00
